,dataset,model,seq_len,pred_len,label_len,gpu
1,elec_train_test_full_last,Rnn,96,12,48,1
2,elec_train_test_full_last,RnnAttn,96,12,48,1
3,elec_train_test_full_last,Lstm,96,12,48,1
4,elec_train_test_full_last,LstmAttn,96,12,48,1
5,elec_train_test_full_last,Gru,96,12,48,1
6,elec_train_test_full_last,GruAttn,96,12,48,1
7,elec_train_test_full_last,Transformer,96,12,48,1
8,elec_train_test_full_last,Rnn,96,24,48,1
9,elec_train_test_full_last,RnnAttn,96,24,48,1
10,elec_train_test_full_last,Lstm,96,24,48,1
11,elec_train_test_full_last,LstmAttn,96,24,48,1
12,elec_train_test_full_last,Gru,96,24,48,1
13,elec_train_test_full_last,GruAttn,96,24,48,1
14,elec_train_test_full_last,Transformer,96,24,48,1
15,elec_train_test_full_last,Rnn,96,48,48,1
16,elec_train_test_full_last,RnnAttn,96,48,48,1
17,elec_train_test_full_last,Lstm,96,48,48,1
18,elec_train_test_full_last,LstmAttn,96,48,48,1
19,elec_train_test_full_last,Gru,96,48,48,1
20,elec_train_test_full_last,GruAttn,96,48,48,1
21,elec_train_test_full_last,Transformer,96,48,48,1
22,elec_train_test_full_last,Rnn,96,96,48,1
23,elec_train_test_full_last,RnnAttn,96,96,48,1
24,elec_train_test_full_last,Lstm,96,96,48,1
25,elec_train_test_full_last,LstmAttn,96,96,48,1
26,elec_train_test_full_last,Gru,96,96,48,1
27,elec_train_test_full_last,GruAttn,96,96,48,1
28,elec_train_test_full_last,Transformer,96,96,48,1
29,elec_train_test_full_last,Rnn,96,192,48,1
30,elec_train_test_full_last,RnnAttn,96,192,48,1
31,elec_train_test_full_last,Lstm,96,192,48,1
32,elec_train_test_full_last,LstmAttn,96,192,48,1
33,elec_train_test_full_last,Gru,96,192,48,1
34,elec_train_test_full_last,GruAttn,96,192,48,1
35,elec_train_test_full_last,Transformer,96,192,48,1
36,elec_train_test_full_last,Rnn,96,336,48,1
37,elec_train_test_full_last,RnnAttn,96,336,48,1
38,elec_train_test_full_last,Lstm,96,336,48,1
39,elec_train_test_full_last,LstmAttn,96,336,48,1
40,elec_train_test_full_last,Gru,96,336,48,1
41,elec_train_test_full_last,GruAttn,96,336,48,1
42,elec_train_test_full_last,Transformer,96,336,48,1
43,elec_train_test_full_last,Rnn,96,720,48,1
44,elec_train_test_full_last,RnnAttn,96,720,48,1
45,elec_train_test_full_last,Lstm,96,720,48,1
46,elec_train_test_full_last,LstmAttn,96,720,48,1
47,elec_train_test_full_last,Gru,96,720,48,1
48,elec_train_test_full_last,GruAttn,96,720,48,1
49,elec_train_test_full_last,Transformer,96,720,48,1
